Episode,Reward,Phi_t,Best_Phi_t,Final_Reward,Final_Events
1,-1.96720234900172,0.1,NaN,NaN,NaN
2,-1.95568826727161,0.118163265306122,NaN,NaN,NaN
3,-1.99592826197822,0.699387755102041,NaN,NaN,NaN
4,-1.99402072629697,0.136326530612245,NaN,NaN,NaN
5,-1.15583984564955,0.154489795918367,NaN,NaN,NaN
6,-1.98854132743477,0.17265306122449,NaN,NaN,NaN
7,-1.98055605779043,0.190816326530612,NaN,NaN,NaN
8,-1.96820934648998,0.208979591836735,NaN,NaN,NaN
9,-1.97019336213153,0.227142857142857,NaN,NaN,NaN
10,-1.97977999904104,0.24530612244898,NaN,NaN,NaN
11,-1.98074219728234,0.263469387755102,NaN,NaN,NaN
12,-1.97530983556138,0.281632653061225,NaN,NaN,NaN
13,-1.99308093671846,0.299795918367347,NaN,NaN,NaN
14,-1.99756230782116,0.317959183673469,NaN,NaN,NaN
15,-1.96820934648998,0.208979591836735,NaN,NaN,NaN
16,-2.00263663918176,0.336122448979592,NaN,NaN,NaN
17,-1.98921780747354,0.354285714285714,NaN,NaN,NaN
18,-1.98659835465065,0.372448979591837,NaN,NaN,NaN
19,-1.98649988110499,0.390612244897959,NaN,NaN,NaN
20,-1.98420985078655,0.408775510204082,NaN,NaN,NaN
21,-1.98829501722736,0.426938775510204,NaN,NaN,NaN
22,-1.98224547163293,0.445102040816327,NaN,NaN,NaN
23,-1.9797616002987,0.463265306122449,NaN,NaN,NaN
24,-1.90752147929843,0.481428571428571,NaN,NaN,NaN
25,-1.97455709011276,0.499591836734694,NaN,NaN,NaN
26,-1.97058808922543,0.517755102040816,NaN,NaN,NaN
27,-1.98058999455762,0.535918367346939,NaN,NaN,NaN
28,-1.999856690215,0.554081632653061,NaN,NaN,NaN
29,-1.95852317155098,0.572244897959184,NaN,NaN,NaN
30,-1.95516646610166,0.590408163265306,NaN,NaN,NaN
31,-1.97796878288224,0.826530612244898,NaN,NaN,NaN
32,-1.99555216992797,0.608571428571429,NaN,NaN,NaN
